agency,expenses,year
Department of Agriculture,15.297,2012
Department of Agriculture,0.179,2012
Department of Agriculture,1.46,2012
Department of Agriculture,1.46,2013
Department of Agriculture,1.46,2014
Department of Agriculture,1.8205,2011
Department of Agriculture,1.713,2012
Department of Agriculture,1.45,2013
Department of Agriculture,0.01,2011
Department of Agriculture,3.5,2014
Department of Agriculture,46.96,2011
Department of Agriculture,0.662,2012
Department of Agriculture,3.155,2013
Department of Agriculture,14.239,2012
Department of Agriculture,10.058,2012
Department of Agriculture,4.268,2012
Department of Agriculture,4.01,2012
Department of Agriculture,23.717,2013
Department of Agriculture,0.119,2013
Department of Agriculture,3.014,2013
Department of Agriculture,0.311,2013
Department of Agriculture,30.975,2014
Department of Agriculture,0.033,2014
Department of Agriculture,12.959,2014
Department of Agriculture,4.696,2014
Department of Agriculture,46.72,2002
Department of Agriculture,1.67,2011
Department of Agriculture,3.922,2004
Department of Agriculture,1.907,2013
Department of Agriculture,2.592,2014
Department of Agriculture,0.602,2014
Department of Agriculture,100.676191,2013
Department of Agriculture,42.927415,2013
Department of Agriculture,7.32,2013
Department of Agriculture,3,2014
Department of Agriculture,3,2013
Department of Agriculture,39.180338,2005
Department of Agriculture,0.5,2013
Department of Agriculture,141.478,2007
Department of Agriculture,5.548069,2012
Department of Agriculture,1,2012
Department of Agriculture,2.845,2006
Department of Agriculture,0.35,2012
Department of Agriculture,0.1,2013
Department of Agriculture,0.15,2013
Department of Agriculture,0.7,2012
Department of Agriculture,0.15,2012
Department of Agriculture,0.03,2012
Department of Agriculture,0.7,2012
Department of Agriculture,1.017,2012
Department of Agriculture,0.12,2013
Department of Agriculture,0.81,2013
Department of Agriculture,0.180508,2013
Department of Agriculture,0.012,2014
Department of Agriculture,0.54828,2014
Department of Agriculture,0.180508,2014
Department of Agriculture,4.885,2012
Department of Agriculture,7.02,2012
Department of Agriculture,6.958,2012
Department of Agriculture,4.175,2012
Department of Agriculture,4.175,2012
Department of Agriculture,1.392,2012
Department of Agriculture,0.2,2012
Department of Agriculture,0.4,2013
Department of Agriculture,7.417,2013
Department of Agriculture,7.417,2013
Department of Agriculture,7.417,2013
Department of Agriculture,7.417,2013
Department of Agriculture,0.5,2012
Department of Agriculture,1.05236,2012
Department of Agriculture,4.997,2012
Department of Agriculture,21.729,2012
Department of Agriculture,0.555,2013
Department of Agriculture,5.6,2013
Department of Agriculture,0.25,2012
Department of Agriculture,1.198251,2012
Department of Agriculture,10,2013
Department of Agriculture,11,2014
Department of Agriculture,11.2,2013
Department of Agriculture,1.2,2013
Department of Agriculture,1.445,2013
Department of Agriculture,8,2014
Department of Agriculture,11,2014
Department of Agriculture,0.9,2012
Department of Agriculture,0.03,2012
Department of Agriculture,0.256,2012
Department of Agriculture,0.395,2012
Department of Agriculture,2.2,2013
Department of Agriculture,2.15,2013
Department of Agriculture,2.1,2013
Department of Agriculture,1.22028,2012
Department of Agriculture,4.707543,2012
Department of Agriculture,4.282884,2012
Department of Agriculture,2.149643,2012
Department of Agriculture,16.92,2013
Department of Agriculture,17.35,2014
Department of Agriculture,16.92,2015
Department of Agriculture,2.4,2013
Department of Agriculture,2.4,2014
Department of Agriculture,18.4645,2013
Department of Agriculture,21.611,2013
Department of Agriculture,0.55,2012
Department of Agriculture,0.9,2009
Department of Agriculture,0.8,2011
Department of Agriculture,0.14,2010
Department of Agriculture,0.32,2010
Department of Agriculture,0.3,2011
Department of Agriculture,0.75,2012
Department of Agriculture,0.5,2007
Department of Agriculture,0.1,2009
Department of Agriculture,10.68,2010
Department of Agriculture,35.165,2010
Department of Agriculture,21.361,2010
Department of Agriculture,25.814,2010
Department of Agriculture,3.795235,2012
Department of Agriculture,2.3252,2012
Department of Agriculture,0.670791,2012
Department of Agriculture,4.88587,2012
Department of Agriculture,1.988088,2012
Department of Agriculture,6.84618,2013
Department of Agriculture,2.349143,2013
Department of Agriculture,1.029839,2013
Department of Agriculture,0.237938,2012
Department of Agriculture,2.094545,2012
Department of Agriculture,0.913387,2014
Department of Agriculture,1.577528,2013
Department of Agriculture,1.991321,2013
Department of Agriculture,55.447595,2011
Department of Agriculture,3.83,2013
Department of Agriculture,30.275976,2013
Department of Agriculture,18.51,2014
Department of Agriculture,3.406,2014
Department of Agriculture,0.4,2014
